dataset,global_step,loss,lr,grad_norm,total_tokens,supervised_tokens,max_seqlen_q,optimizer_mode
ultrachat_200k,900,0.9377429582295008,3.999649991249781e-06,1.4355467557907104,3084338,2375090,3072,fp32-master
ultrachat_200k,920,0.9427014537359355,3.999639990999774e-06,1.3408390283584595,3028490,2321291,3072,fp32-master
ultrachat_200k,940,0.9384649642481235,3.9996299907497685e-06,1.1853001117706299,3086581,2372112,3072,fp32-master
ultrachat_200k,960,0.9412351634789957,3.999619990499763e-06,1.2449748516082764,3094266,2380443,3072,fp32-master
ultrachat_200k,980,0.9408021437906428,3.999609990249756e-06,1.246888279914856,3103328,2379165,3072,fp32-master
ultrachat_200k,1000,0.936628474938334,3.99959998999975e-06,1.3240398168563843,3044746,2308881,3072,fp32-master
ultrachat_200k,1020,0.9366322470770683,3.999589989749743e-06,1.5353816747665405,3093912,2371086,3072,fp32-master
ultrachat_200k,1040,0.9327026720304274,3.9995799894997375e-06,1.3299012184143066,3047581,2330345,3072,fp32-master
ultrachat_200k,1060,0.9370159416372189,3.999569989249731e-06,1.2404019832611084,3061550,2338696,3072,fp32-master
ultrachat_200k,1080,0.9274048999184743,3.999559988999725e-06,1.8182532787322998,3044792,2318202,3072,fp32-master
ultrachat_200k,1100,0.9308630765575799,3.999549988749718e-06,1.630901575088501,3072464,2357197,3072,fp32-master
ultrachat_200k,1120,0.9225304409366799,3.999539988499712e-06,1.2416578531265259,3053185,2343564,3072,fp32-master
ultrachat_200k,1140,0.9327764385467162,3.9995299882497065e-06,1.335284948348999,3050184,2332648,3072,fp32-master
ultrachat_200k,1160,0.9347078978986246,3.9995199879997e-06,1.172876238822937,3106387,2378097,3072,fp32-master
ultrachat_200k,1180,0.9288523177470779,3.999509987749694e-06,1.3145843744277954,3086211,2372314,3072,fp32-master
ultrachat_200k,1200,0.9310861341713462,3.999499987499687e-06,1.4030108451843262,3088802,2385758,3072,fp32-master
ultrachat_200k,1220,0.9267816041799961,3.999489987249681e-06,1.4181454181671143,3089143,2351429,3072,fp32-master
ultrachat_200k,1240,0.922155164310243,3.999479986999675e-06,1.2437665462493896,3082956,2368084,3072,fp32-master
ultrachat_200k,1260,0.9388586459448561,3.999469986749669e-06,1.2813003063201904,3035185,2322087,3072,fp32-master
ultrachat_200k,1280,0.92643732757424,3.999459986499662e-06,1.6748416423797607,3059829,2345627,3072,fp32-master
ultrachat_200k,1300,0.9264526634360664,3.999449986249656e-06,1.1872975826263428,3100748,2382905,3072,fp32-master
ultrachat_200k,1320,0.9218396415904863,3.9994399859996495e-06,1.3369587659835815,3124239,2395599,3072,fp32-master
ultrachat_200k,1340,0.9180761082126991,3.999429985749644e-06,1.4659326076507568,3066404,2333550,3072,fp32-master
ultrachat_200k,1360,0.9243537671543891,3.999419985499637e-06,1.3545745611190796,3021517,2307030,3072,fp32-master
ultrachat_200k,1380,0.9259463468042668,3.999409985249631e-06,1.2876319885253906,2989843,2284292,3072,fp32-master
ultrachat_200k,1400,0.9244893110531848,3.999399984999624e-06,2.205240249633789,3108845,2377076,3072,fp32-master
ultrachat_200k,1420,0.9230917285924078,3.9993899847496185e-06,1.3098368644714355,3066033,2349244,3072,fp32-master
ultrachat_200k,1440,0.9321853084853501,3.999379984499612e-06,1.1668517589569092,3001596,2299483,3072,fp32-master
ultrachat_200k,1460,0.9148862338275648,3.999369984249606e-06,1.2681769132614136,3089009,2349112,3072,fp32-master
ultrachat_200k,1480,0.9176620135403937,3.9993599839996e-06,1.332089900970459,3106056,2396045,3072,fp32-master
ultrachat_200k,1500,0.9137028962606564,3.999349983749593e-06,1.4267420768737793,3069141,2351236,3072,fp32-master
ultrachat_200k,1520,0.9119269562419504,3.9993399834995875e-06,1.3387099504470825,3065648,2332071,3072,fp32-master
ultrachat_200k,1540,0.9226108090108027,3.999329983249581e-06,1.434995412826538,3044989,2341933,3072,fp32-master
ultrachat_200k,1560,0.926984554308001,3.999319982999575e-06,1.229919672012329,3065044,2335842,3072,fp32-master
ultrachat_200k,1580,0.9113356782967458,3.999309982749568e-06,1.224013328552246,3070511,2349140,3072,fp32-master
ultrachat_200k,1600,0.919647679218906,3.999299982499562e-06,1.3037078380584717,3085690,2368622,3072,fp32-master
ultrachat_200k,1620,0.9154109455237631,3.9992899822495565e-06,1.1450766324996948,3109820,2381123,3072,fp32-master

