dataset,global_step,loss,lr,grad_norm,total_tokens,supervised_tokens,max_seqlen_q,device
synthetic,1,4.876346111297607,0.01,4.37565279006958,16,14,8,cpu
synthetic,2,4.876346111297607,0.006666666666666666,4.37565279006958,16,14,8,cpu
synthetic,3,4.349508762359619,0.003333333333333333,3.1910765171051025,16,14,8,cpu
synthetic,4,3.971484899520874,0.0,2.9268736839294434,16,14,8,cpu
synthetic,5,3.787645101547241,0.0,2.4824492931365967,16,14,8,cpu
