ultrachat_200k,20,3.7397303248755636
ultrachat_200k,40,2.5638934845570476
ultrachat_200k,60,1.507546255341731
ultrachat_200k,80,1.2287938247085548
ultrachat_200k,100,1.1376570274936966
ultrachat_200k,120,1.1011886272928677
ultrachat_200k,140,1.0807666506472742
ultrachat_200k,160,1.051222730227164
ultrachat_200k,180,1.043838672855054
ultrachat_200k,200,1.025933103391435
ultrachat_200k,220,1.028819074758212
ultrachat_200k,240,1.0165554409613833
ultrachat_200k,260,1.015416649056715
ultrachat_200k,280,1.005071158177452
ultrachat_200k,300,0.9982215673051542
